keys,es
Search Pokémon or clubs…   (Ctrl+F),Buscar Pokémon o clubes…   (Ctrl+F)
"No results for ""%s""",Sin resultados para «%s»
No screen available for %s yet,Aún no hay pantalla para %s
Screen,Pantalla
Free agent,Agente libre
Youth prospect,Promesa juvenil
%s · your squad,%s · tu plantilla
Club · %s · manager %s · rep %d,Club · %s · entrenador %s · rep. %d
Lv %d %s · %s · %s,Nv. %d %s · %s · %s
Next opponent · %s,Próximo rival · %s
Finances,Finanzas
"Open Board & Finances — balance, wages, board confidence","Abrir Directiva y finanzas: saldo, salarios y confianza de la directiva"
Open Competition — season calendar and fixtures,Abrir Competición: calendario de la temporada y partidos
Open Competition — final table,Abrir Competición: clasificación final
Open Competition — %s table & fixtures,Abrir Competición: clasificación y partidos de %s
Open Squad — %s,Abrir Plantilla: %s
Go to matchday vs %s,Ir a la jornada: vs %s
"Open fixture — %s, %s (%s)","Abrir partido: %s, %s (%s)"
Back to %s   (Alt+Left / mouse-4),Volver a %s   (Alt+Izq / ratón 4)
Forward to %s   (Alt+Right / mouse-5),Adelante a %s   (Alt+Der / ratón 5)
Back   (Alt+Left — nowhere to go),Atrás   (Alt+Izq: no hay historial)
Forward   (Alt+Right — nowhere to go),Adelante   (Alt+Der: no hay historial)
Show %s sections,Mostrar secciones de %s
Hide %s sections,Ocultar secciones de %s
%s  (press %d),%s  (tecla %d)
%s · %s-type core,%s · núcleo de tipo %s
TRAINER MANAGER · %s,TRAINER MANAGER · %s
1–%d screens   ·   Space  Continue   ·   Alt+Left/Right  Back/Fwd   ·   Ctrl+F  Search   ·   Ctrl+S  Save,1–%d pantallas   ·   Espacio  Continuar   ·   Alt+Izq/Der  Atrás/Adelante   ·   Ctrl+F  Buscar   ·   Ctrl+S  Guardar
1–%d screens   ·   Ctrl+1–9 sections   ·   Space  Continue   ·   Alt+Left/Right  Back/Fwd   ·   Ctrl+F  Search,1–%d pantallas   ·   Ctrl+1–9 secciones   ·   Espacio  Continuar   ·   Alt+Izq/Der  Atrás/Adelante   ·   Ctrl+F  Buscar
Space = Continue · %d–%d = screens · Ctrl+1–9 = sections,Espacio = Continuar · %d–%d = pantallas · Ctrl+1–9 = secciones
Matchday — your fixture is due today,Jornada: tu partido se juega hoy
News needs your attention,Hay noticias que requieren tu atención
Advanced to %s · game saved,Avanzado hasta %s · partida guardada
Career saved · %s,Carrera guardada · %s
Save failed,Error al guardar
No save file found,No se encontró ninguna partida guardada
Career loaded · %s,Carrera cargada · %s
Load failed,Error al cargar
New career started at %s · %s,Nueva carrera iniciada en %s · %s
You take over at %s · %s,Tomas las riendas de %s · %s
START A NEW CAREER,EMPEZAR UNA NUEVA CARRERA
"Choose the club you'll manage — 32 clubs across two leagues, all meeting in the Indigo Cup.","Elige el club que dirigirás: 32 clubes en dos ligas, todos citados en la Copa Añil."
Starting a new career deletes the current save.,Empezar una nueva carrera borra la partida guardada actual.
Start Career,Empezar carrera
Start at %s,Empezar en %s
  %d clubs per league · double round-robin championship,  %d clubes por liga · liga a doble vuelta
top six avg Lv %.0f,nv. medio del seis titular %.0f
Start a fresh career,Empezar una carrera nueva
Take over,Tomar las riendas
Full time: won %d–%d vs %s — report in Inbox,Final: victoria %d–%d vs %s — informe en la Bandeja
Full time: lost %d–%d vs %s — report in Inbox,Final: derrota %d–%d vs %s — informe en la Bandeja
Section · %s,Sección · %s
Open %s,Abrir %s
%s · %d in squad,%s · %d en plantilla
MANAGER,ENTRENADOR
REPUTATION,REPUTACIÓN
BALANCE,SALDO
SQUAD STRENGTH,NIVEL DE PLANTILLA
THE BOARDROOM HAS SPOKEN,LA DIRECTIVA HA HABLADO
SACKED,DESPEDIDO
%s have terminated your contract: %s.,%s ha rescindido tu contrato: %s.
The club,El club
results were not good enough,los resultados no fueron suficientes
YOUR CAREER,TU CARRERA
Season,Temporada
League pos,Pos. liga
Record (W-L),Balance (V-D)
Cup,Copa
%d season%s managed   ·   %d-%d in matches   ·   best finish %s,%d temporada%s al mando   ·   %d-%d en partidos   ·   mejor puesto: %s
Honours: %s,Palmarés: %s
none — perhaps that was the problem,ninguno; quizá ese fue el problema
WHAT NEXT?,¿Y AHORA QUÉ?
No club is calling. Time for a clean slate.,Ningún club llama a tu puerta. Toca empezar de cero.
Word travels fast — a club lower down the pyramid wants to talk:,Las noticias vuelan: un club de menor nivel quiere hablar contigo:
Word travels fast — %d clubs lower down the pyramid want to talk:,Las noticias vuelan: %d clubes de menor nivel quieren hablar contigo:
"Accepting an offer keeps this world — your history, rivals and record all carry on.","Aceptar una oferta conserva este mundo: tu historial, tus rivales y tu palmarés continúan."
%s   ·   reputation %d/20,%s   ·   reputación %d/20
Preferences,Preferencias
Reset to Defaults,Restablecer valores
Changes apply immediately and are saved to your profile (user://settings.json).,Los cambios se aplican al instante y se guardan en tu perfil (user://settings.json).
DISPLAY,PANTALLA
AUDIO,AUDIO
GAMEPLAY,JUEGO
LANGUAGE,IDIOMA
Window Mode,Modo de ventana
Windowed,Ventana
Borderless Window,Ventana sin bordes
Fullscreen,Pantalla completa
Borderless fills the screen without exclusive fullscreen.,Sin bordes ocupa toda la pantalla sin usar el modo exclusivo.
Resolution,Resolución
Window size (windowed mode only). The UI scales to any size.,Tamaño de la ventana (solo en modo ventana). La interfaz se adapta a cualquier tamaño.
UI Scale,Escala de la interfaz
Zoom the whole interface. 100% is the designed density.,Amplía toda la interfaz. El 100 % es la densidad de diseño.
Enable Audio,Activar audio
Master switch for all game audio.,Interruptor general de todo el audio del juego.
Master Volume,Volumen general
Overall volume for everything.,Volumen global de todo.
Music,Música
Menu and matchday music.,Música de menús y de los partidos.
Sound Effects,Efectos de sonido
"Battle hits, UI clicks, notifications.","Golpes de combate, clics de interfaz y avisos."
Ambience,Ambiente
Crowd and arena atmosphere.,Público y ambiente del estadio.
AI Coach Uses the Bag,El segundo entrenador usa la mochila
Let your assistant spend battle items when you delegate or instant-sim matches.,Permite que tu ayudante gaste objetos de combate cuando delegas o simulas partidos al instante.
Autosave,Autoguardado
How often the career is saved automatically as days advance.,Frecuencia con la que se guarda la carrera automáticamente al avanzar los días.
Off,Desactivado
Every day,Cada día
Every 3 days,Cada 3 días
Weekly,Semanal
Fortnightly,Quincenal
More languages appear here as translations are installed.,Aquí aparecerán más idiomas a medida que se instalen traducciones.
Filter name / species / type...,"Filtrar por nombre, especie o tipo..."
Respond to incoming transfer bids,Responder a las ofertas de traspaso recibidas
Sort: click a column · profile: double-click · actions: right-click,Ordenar: clic en columna · perfil: doble clic · acciones: clic derecho
%s · %s · %s in the %s · %s · Tactic: %s%s,%s · %s · %s en la %s · %s · Táctica: %s%s
Manager: %s,Entrenador: %s
 (auto), (auto)
%d transfer bid%s awaiting response,%d oferta%s de traspaso esperando respuesta
POKEMON,POKÉMON
PICKED SIX,SEIS TITULAR
%d/%d fit,%d/%d en forma
Starters of the saved tactic '%s' clear of serious availability doubts (%d of the %d-strong squad fully available).,Titulares de la táctica guardada «%s» sin dudas serias de disponibilidad (%d de los %d de la plantilla totalmente disponibles).
No tactic saved yet: the six are auto-picked by level and condition. Set a lineup on the Tactics screen.,Aún no hay táctica guardada: el seis se elige automáticamente por nivel y estado. Define una alineación en la pantalla de Táctica.
AVG LEVEL,NIVEL MEDIO
AVG COND,ESTADO MEDIO
MOOD,ÁNIMO
 · %d unhappy, · %d descontentos
unhappy,descontento
"Average squad happiness %d/100. Concerns needing attention:
%s","Felicidad media de la plantilla: %d/100. Inquietudes que requieren atención:
%s"
Average squad happiness %d/100 — no one is agitating. The Happiness view shows every factor.,Felicidad media de la plantilla: %d/100. Nadie protesta. La vista Felicidad muestra cada factor.
EVOLUTION,EVOLUCIÓN
%d awaiting approval,%d esperando aprobación
"Manager approval needed — decide from the profile or the inbox:
","Se necesita la aprobación del entrenador; decide desde el perfil o la bandeja:
"
NEXT,PRÓXIMO
vs,vs
CUP·,COPA·
home to,en casa ante
away at,a domicilio ante
"
Cross-league cup tie: they play in the %s — check their squad on the Transfers search.","
Eliminatoria de copa entre ligas: juegan en la %s; consulta su plantilla en la búsqueda de Traspasos."
"
Cup ties are best-of-3 and game 2 is 2v2 doubles — set your pair on Tactics.","
Las eliminatorias de copa son al mejor de 3 y el 2.º combate es de dobles 2c2; configura tu pareja en Táctica."
WAGES /WK,SALARIOS /SEM
Weekly wage bill against the wage budget.,Masa salarial semanal frente al presupuesto salarial.
T. BUDGET,PRESUP. TRASP.
%s of %s,%s de %s
View:,Vista:
Preset view (carrying your edits — Columns... to change or reset),Vista predefinida (con tus cambios; usa Columnas... para modificarla o restablecerla)
Preset view — an editable starting point (Columns...),Vista predefinida: un punto de partida editable (Columnas...)
Your custom view — saved in this career's save file,"Tu vista personalizada, guardada en la partida de esta carrera"
Columns...,Columnas...
"Customize this view: add, remove and reorder columns,
save it over '%s' or as a new view. Saved views live in the career save.","Personaliza esta vista: añade, quita y reordena columnas;
guárdala sobre «%s» o como vista nueva. Las vistas guardadas viven en la partida."
General,General
Selection,Alineación
Battle Stats,Estadísticas
Contracts,Contratos
Happiness,Felicidad
Picked,Elegido
Role,Rol
Avail,Disp.
Name,Nombre
Species,Especie
Type,Tipo
Held Item,Objeto
Ability,Habilidad
Nature,Naturaleza
Cur Ability,Nivel actual
Potential,Potencial
Coach Call,Veredicto
Attributes,Atributos
Apps,Part.
Av Rat,Media
Cond,Estado
Personality,Personalidad
Status,Situación
Main Concern,Inquietud
Wage %,% masa
Expires,Vence
Days,Días
Wants,Pide
Value,Valor
/wk,/sem
~%s/wk,~%s/sem
%dy %dm,%da %dm
%s (neutral),%s (neutra)
Evolve? -> %s,¿Evolucionar? -> %s
Stone ready,Piedra lista
%d bid%s,%d oferta%s
Listed,Transferible
Talks off,Sin diálogo
Kept · %s,Cumplida · %s
BROKEN · %s,ROTA · %s
Battles,Combates
New deal,Renovación
Unlist,Retirar de la lista
Promise,Promesa
%s  ·  Lv %d %s,%s  ·  Nv. %d %s
PICKED,ELEGIDO
Starter %d,Titular %d
Sub ,Supl. 
HELD ITEM,OBJETO
AVAILABILITY,DISPONIBILIDAD
ABILITY,NIVEL
POTENTIAL,POTENCIAL
COACH CALL,VEREDICTO
HAPPINESS,FELICIDAD
TOP CONCERN,INQUIETUD
COND / FIT,ESTADO / FORMA
SEASON,TEMPORADA
TRANSFER,TRASPASO
%d apps · %d KOs · av %s,%d part. · %d KO · media %s
Listed at %s,Transferible por %s
Respond To %d Bid%s,Responder a %d oferta%s
Contract...,Contrato...
Open contract renewal talks,Abrir negociación de renovación
Talks broke down recently — locked until %s,La negociación fracasó hace poco; bloqueada hasta el %s
Transfer List,Poner transferible
Transfer list,Lista de traspasos
Actions...,Acciones...
Profile,Perfil
Open the full profile (or double-click the row),Abrir el perfil completo (o doble clic en la fila)
"Select a Pokemon for a quick summary, double-click to open its full profile.",Selecciona un Pokémon para un resumen rápido; doble clic abre su perfil completo.
%s conf.,conf. %s
"%s
Manage from the Items screen.","%s
Gestiónalo desde la pantalla de Objetos."
No held item — equip one from the Items screen.,Sin objeto equipado; equipa uno desde la pantalla de Objetos.
No held item — equip one from the Items screen storeroom.,Sin objeto equipado; equipa uno desde el almacén de la pantalla de Objetos.
Ready to evolve into %s — approve or postpone from the profile or the inbox decision message.,Listo para evolucionar a %s; apruébalo o pospónlo desde el perfil o el mensaje de decisión de la bandeja.
An evolution stone in the storeroom would evolve it into %s — apply it from the profile or the Items screen.,Una piedra evolutiva del almacén lo haría evolucionar a %s; aplícala desde el perfil o la pantalla de Objetos.
%d active transfer bid%s awaiting your response (respond from the footer or right-click).,%d oferta%s de traspaso en activo esperan tu respuesta (responde desde el pie o con clic derecho).
Transfer listed at %s.,Transferible por %s.
Contract talks broke down — locked until %s.,La negociación del contrato fracasó; bloqueada hasta el %s.
"No live transfer/contract state: no bids, not listed, talks open.","Sin novedades de traspaso o contrato: sin ofertas, no transferible y diálogo abierto."
No promise outstanding. Make one from the right-click menu — promises are tracked with deadlines and real consequences.,Ninguna promesa pendiente. Haz una desde el menú contextual; las promesas tienen plazos y consecuencias reales.
"Your word, given %s: %s Deadline %s — break it and morale, trust and future contract talks all pay.","Tu palabra, dada el %s: %s Plazo: %s. Si la rompes, lo pagarán la moral, la confianza y las futuras negociaciones."
Promise kept on %s: %s Trust has deepened.,Promesa cumplida el %s: %s La confianza se ha reforzado.
Promise BROKEN on %s: %s The distrust lingers for weeks and poisons contract talks.,Promesa ROTA el %s: %s La desconfianza dura semanas y envenena las negociaciones.
Morale %s (%d) — day-to-day mood.,Moral %s (%d): el ánimo del día a día.
No recorded morale events yet.,Aún no hay eventos de moral registrados.
Recent morale events:,Eventos de moral recientes:
"Drifting %s toward their underlying happiness (%s, %d).","Tiende %s hacia su felicidad de fondo (%s, %d)."
up,al alza
down,a la baja
See the Happiness view / profile for the full breakdown.,Consulta la vista Felicidad o el perfil para el desglose completo.
Exhausted — condition %d%%. Battling now invites a poor rating; rest before picking.,Exhausto: estado al %d %%. Combatir ahora invita a una mala nota; dale descanso antes de alinearlo.
"Tired — condition %d%%, below matchday freshness.","Cansado: estado al %d %%, por debajo de la frescura de jornada."
Unfit — fitness %d%%. Needs training time before competitive battles.,Bajo de forma: %d %%. Necesita entrenar antes de combates de competición.
Short of match fitness (%d%%).,Falto de ritmo de competición (%d %%).
Carrying a %s ailment into the next match.,Llega al próximo partido con %s.
burn,quemaduras
para,parálisis
sleep,somnolencia
poison,envenenamiento
freeze,congelación
confuse,confusión
Transfer listed at %s — expects to leave the club.,Transferible por %s: espera salir del club.
Unhappy — morale %s (%d). Performances suffer until it lifts.,Descontento: moral %s (%d). Su rendimiento sufrirá hasta que mejore.
Fully available for selection.,Totalmente disponible para la alineación.
Lead,Inicial
Sweeper,Barredor
Wall,Muro
Pivot,Pívot
Revenge Killer,Vengador
Cleric,Sanador
the saved tactic '%s',la táctica guardada «%s»
the auto-picked six (no tactic saved yet: best available by level and condition),el seis elegido automáticamente (sin táctica guardada: los mejores disponibles por nivel y estado)
Starts Saturday: slot %d of %s%s.%s,Titular el sábado: puesto %d de %s%s.%s
 as the %s, como %s
"
Slot 1 opens the battle; the order sets who the engine leans on.","
El puesto 1 abre el combate; el orden marca en quién se apoya el motor."
Not in the picked six — bench slot %d of %s%s. Bench order is the substitution order when a starter is unavailable.,Fuera del seis titular: puesto %d del banquillo de %s%s. El orden del banquillo es el de las sustituciones cuando un titular no está disponible.
", trained as a %s",", entrenado como %s"
Superb,Espléndida
Okay,Aceptable
Abysmal,Por los suelos
Good,Buena
Poor,Mala
Fair,Regular
Elite for this league,Élite para esta liga
Leading battler,Combatiente puntero
Excellent,Excelente
Good league level,Buen nivel de liga
Decent,Decente
Weak,Flojo
Far below league level,Muy por debajo del nivel de la liga
High,Alta
Very high,Muy alta
Low,Baja
Very low,Muy baja
no qualified coach,sin entrenador cualificado
no qualified scout,sin ojeador cualificado
Key battler,Pieza clave
First team,Titular
Develop,Desarrollar
Squad depth,Fondo de armario
Aging,En declive
Surplus,Prescindible
Top %d%% of the league's %d battlers right now — build the side around them.,Ahora mismo en el %d %% mejor de los %d combatientes de la liga: construye el equipo a su alrededor.
Clear headroom (%s -> %s potential): young enough to realise ~%d%% of the remaining IV ceiling. Give battles and focused training.,Margen claro (%s -> %s de potencial): aún joven para alcanzar ~%d %% del techo de IV restante. Dale combates y entrenamiento específico.
Comfortably first-team level (top %d%% of the league). A regular starter.,Nivel de titular con holgura (top %d %% de la liga). Un fijo en el equipo.
Veteran at %s with almost no development left — plan a succession and consider cashing in.,Veterano con %s y casi sin desarrollo restante: planifica el relevo y plantéate venderlo.
"Useful rotation piece, but not first-team quality and limited headroom.","Útil para la rotación, pero sin nivel de titular y con poco margen."
Below league level (bottom %d%%) with little realistic improvement — a candidate to sell or release.,Por debajo del nivel de la liga (último %d %%) y sin mejora realista: candidato a venta o carta de libertad.
"Current ability %s stars — %s.
Coach report by %s (judging ability %d/20); top %d%% of the league's %d battlers.","Nivel actual: %s estrellas — %s.
Informe del entrenador %s (valorar nivel %d/20); top %d %% de los %d combatientes de la liga."
"Potential %s stars (%s confidence — %s, judging potential %d/20).
Ceiling from trainable IVs (%d%% -> ~%d%%) and the full learnset.","Potencial: %s estrellas (confianza %s — %s, valorar potencial %d/20).
Techo según IV entrenables (%d %% -> ~%d %%) y el repertorio completo."
Developing,En desarrollo
Peak years,En plenitud
Experienced,Experimentado
Veteran,Veterano
Fast,Rápido
Medium-Fast,Medio-rápido
Medium-Slow,Medio-lento
Slow,Lento
%s nature — neutral: no stat is boosted or hindered.,Naturaleza %s — neutra: no potencia ni reduce ninguna estadística.
"%s nature — battle stats are modified at battle start:
+10%% %s (%d -> %d)   −10%% %s (%d -> %d)
All stats shown on this screen already include the nature.","Naturaleza %s — las estadísticas se ajustan al iniciar el combate:
+10 %% %s (%d -> %d)   −10 %% %s (%d -> %d)
Todas las estadísticas de esta pantalla ya incluyen la naturaleza."
No battle ability.,Sin habilidad de combate.
"
Takes ZERO damage from %s moves — the type chart alone understates this battler.","
Recibe CERO daño de movimientos de tipo %s; la tabla de tipos por sí sola se queda corta."
Ambition,Ambición
Professionalism,Profesionalidad
Temperament,Temperamento
Loyalty,Lealtad
"%s — %s
Coach's read: %s.","%s — %s
Lectura del entrenador: %s."
%s (rated %d of %d in the squad). %s,%s (n.º %d de %d en la plantilla). %s
"%s (%d/100) — %s, %s.","%s (%d/100) — %s, %s."
Nothing on their mind — no active happiness factors.,Nada le ronda la cabeza: sin factores de felicidad activos.
No active concerns.,Sin inquietudes activas.
Model Professional,Profesional modélico
Trains impeccably and keeps perspective — form dips and hard words rarely become crises.,Entrena de forma impecable y mantiene la perspectiva: los baches y las críticas rara vez se convierten en crisis.
Driven,Motivado
"Hungry for battles and status. Delivers when trusted, agitates quickly when overlooked.",Hambriento de combates y de estatus. Rinde cuando confían en él y protesta pronto si lo ignoran.
Fiery,Fogoso
"Explosive character: criticism, benching and broken promises all land twice as hard.","Carácter explosivo: las críticas, las suplencias y las promesas rotas duelen el doble."
Loyal,Leal
"Attached to the club — flexible in contract talks, but deeply wounded by a transfer listing.","Apegado al club: flexible al negociar, pero una lista de traspasos le hiere profundamente."
Ambitious,Ambicioso
"Expects the club, the team sheet and the wage slip to keep pace with their ability.","Espera que el club, la alineación y la nómina estén a la altura de su nivel."
Casual,Despreocupado
Needs firm management: standards drift without scrutiny and criticism is shrugged off.,Necesita mano firme: sin vigilancia baja el listón y las críticas le resbalan.
Temperamental,Temperamental
Morale swings hard with results and manager talks — handle with care.,Su moral oscila con fuerza según los resultados y las charlas del entrenador: trátalo con cuidado.
Easy-Going,Tranquilo
Content in almost any role. Rarely agitates — and rarely pushes for more.,Contento en casi cualquier rol. Rara vez protesta... y rara vez aprieta para dar más.
Professional,Profesional
Reliable attitude on the training ground; takes fair criticism on the chin.,Actitud fiable en los entrenamientos; encaja las críticas justas con deportividad.
Balanced,Equilibrado
No strong edges to the character — reacts to events much as you would expect.,Un carácter sin aristas: reacciona a los acontecimientos como cabría esperar.
Star Battler,Estrella
Expects to start every match and lead the side.,Espera ser titular en cada partido y liderar al equipo.
Important Battler,Pieza importante
Expects to start most matches.,Espera ser titular en la mayoría de los partidos.
Youth Prospect,Promesa
"Expects battles to develop, plus focused training.",Espera combates para desarrollarse y entrenamiento específico.
Squad Battler,Jugador de plantilla
Expects a fair share of matchdays.,Espera una cuota razonable de jornadas.
Backup,Suplente
Accepts a bench role; content with occasional battles.,Acepta un rol de banquillo; se conforma con combates ocasionales.
Delighted,Encantado
Content,Contento
Settled,Asentado
Unsettled,Inquieto
Unhappy,Descontento
Very Unhappy,Muy descontento
Happy with playing time,Satisfecho con sus minutos
%d battles across %d matchdays meets a %s's expectations.,%d combates en %d jornadas cumplen las expectativas de un %s.
Wants more battles,Quiere más combates
Unhappy at being overlooked,Molesto por ser ignorado
Wants the starts to keep coming,Quiere seguir siendo titular
Only %d battles in %d matchdays — below what a %s expects — but being named in the current starting six is easing it.,"Solo %d combates en %d jornadas, menos de lo que espera un %s, aunque estar en el seis titular actual lo suaviza."
%d battles in %d matchdays is below what a %s expects (%s). Not in the current picked six.,%d combates en %d jornadas es menos de lo que espera un %s (%s). No está en el seis titular actual.
Named in the starting six,En el seis titular
The season is young and they are in the picked six — no complaints.,La temporada acaba de empezar y está en el seis elegido: sin quejas.
In excellent form,En un estado de forma excelente
Averaging %.2f over %d battles — confidence is soaring.,Promedia %.2f en %d combates: la confianza está por las nubes.
Struggling for form,Falto de forma
Averaging just %.2f over %d battles — confidence is low.,Promedia apenas %.2f en %d combates: la confianza está baja.
Feels underpaid,Se siente mal pagado
Rated the squad's %s-strongest battler but only its %s-highest earner — wants the deal to reflect their standing.,Considerado el %s mejor combatiente de la plantilla pero solo el %s mejor pagado: quiere que el contrato refleje su estatus.
Contract running down,Contrato agotándose
Deal expires in %d days and nothing new is agreed — a %s wants their future settled.,Su contrato vence en %d días sin acuerdo nuevo: un %s quiere su futuro resuelto.
Would welcome a new deal,Vería con buenos ojos renovar
%d days left on the current contract; open to talks.,Quedan %d días de contrato; abierto a negociar.
Transfer-listed — feels unwanted,Transferible: se siente no deseado
On the list at %s. Loyalty makes it sting%s.,En la lista por %s. Su lealtad hace que duela%s.
 badly, mucho
Bruised by collapsed talks,Dolido por la negociación fallida
Contract negotiations broke down; will not return to the table before %s.,La negociación del contrato fracasó; no volverá a la mesa antes del %s.
Trusting the manager's promise,Confía en la promesa del entrenador
%s Deadline %s.,%s Plazo: %s.
Manager kept their word,El entrenador cumplió su palabra
Promise honoured on %s: %s,Promesa cumplida el %s: %s
Trust broken by the manager,Confianza rota por el entrenador
Promise broken on %s: %s The distrust lingers.,Promesa rota el %s: %s La desconfianza persiste.
Awaiting a promised run of battles,Espera la racha de combates prometida
The coach brokered a pledge of %d battles by %s (see Inbox).,El entrenador pactó un compromiso de %d combates antes del %s (ver Bandeja).
Enjoying a strong season,Disfruta de una gran temporada
The club sits %s in the league — the mood around the pens is good.,El club marcha %s en la liga: el ambiente en las instalaciones es bueno.
Frustrated by the league position,Frustrado por la posición en la liga
%s in the table against a squad reputation of %s — an ambitious character notices.,%s en la tabla frente a una reputación de plantilla de %s: un carácter ambicioso lo nota.
Riding the winning run,Subido a la racha de victorias
Three straight wins — spirits are high.,Tres victorias seguidas: los ánimos están altos.
Weighed down by defeats,Lastrado por las derrotas
Three straight losses — the mood has darkened.,Tres derrotas seguidas: el ánimo se ha ensombrecido.
Run into the ground,Sobrecargado
Condition is down to %d%% — needs rest before resentment builds.,Su estado ha caído al %d %%: necesita descanso antes de que crezca el resentimiento.
Settled senior figure,Veterano asentado
"A loyal veteran, comfortable in their role at the club.","Un veterano leal, cómodo con su rol en el club."
Buoyed by the manager's praise,Animado por los elogios del entrenador
Praised on %s (morale %+d).,Elogiado el %s (moral %+d).
Smarting from criticism,Escocido por la crítica
Criticised on %s (morale %+d).,Criticado el %s (moral %+d).
EXH,AGO
TRD,CAN
UNF,BAJ
FIT,RIT
LST,TRF
UNH,DES
Lv,Nv.
NOR,NOR
FIR,FUE
WAT,AGU
GRA,PLA
ELE,ELE
ICE,HIE
FIG,LUC
POI,VEN
GRO,TIE
FLY,VOL
PSY,PSI
BUG,BIC
ROC,ROC
GHO,FAN
DRA,DRA
DAR,SIN
STE,ACE
FAI,HAD
Intimidate,Intimidación
Levitate,Levitación
Static,Elec. Estática
Flash Fire,Absorbe Fuego
Sturdy,Robustez
Speed Boost,Impulso
Drizzle,Llovizna
Drought,Sequía
Sand Stream,Chorro Arena
Chlorophyll,Clorofila
Swift Swim,Nado Rápido
Guts,Agallas
Thick Fat,Sebo
Volt Absorb,Absorbe Elec.
Water Absorb,Absorbe Agua
Poison Point,Punto Tóxico
Flame Body,Cuerpo Llama
Effect Spore,Efecto Espora
Rough Skin,Piel Tosca
Overgrow,Espesura
Blaze,Mar Llamas
Torrent,Torrente
Swarm,Enjambre
Hustle,Entusiasmo
Huge Power,Potencia
Natural Cure,Cura Natural
Serene Grace,Dicha
Shed Skin,Mudar
Immunity,Inmunidad
Limber,Flexibilidad
Insomnia,Insomnio
Vital Spirit,Espíritu Vital
Water Veil,Velo Agua
Magma Armor,Escudo Magma
Own Tempo,Ritmo Propio
